Date,District,Murder,Target Killing,Murder during Robbery ,Suicide Bombing/Bomb Blast,Highway Robbery,Bank Robbery,Car Snatching,Gang Rape,Total
07-01-20,Gulberg Town,1,9,30,25,19,43,13,45,47
07-01-20,Gulshan Town,40,35,26,13,21,10,22,8,6
07-01-20,Gadap Town,36,21,28,4,46,20,20,6,49
08-01-20,Baldia Town,33,22,23,34,45,32,48,14,37
08-01-20,Gulberg Town,21,20,0,20,30,46,31,18,32
08-01-20,Gulshan Town,24,43,12,4,2,34,19,23,14
08-01-20,Gadap Town,18,46,43,24,25,48,15,11,9
09-01-20,Baldia Town,24,40,50,39,9,26,37,49,36
09-01-20,Gulberg Town,37,39,22,6,17,12,3,48,32
09-01-20,Gulshan Town,2,47,45,30,38,10,44,20,7
09-01-20,Gadap Town,47,40,8,20,16,18,44,14,28
10-01-20,Baldia Town,32,5,31,18,43,20,16,15,35
10-01-20,Gulberg Town,33,34,10,16,45,42,16,45,40
10-01-20,Gulshan Town,11,49,18,23,14,21,28,17,34
10-01-20,Gadap Town,40,38,9,37,18,49,30,48,7
11-01-20,Baldia Town,16,20,3,48,42,26,11,45,29
11-01-20,Gulberg Town,20,12,28,19,28,16,34,46,42
11-01-20,Gulshan Town,50,36,14,1,23,22,27,14,12
11-01-20,Gadap Town,13,19,32,2,26,20,38,48,44
10-01-19,Bin Qasim Town,25,31,27,0,30,11,44,25,37
10-01-19,Jamshed Town,11,6,35,10,21,34,47,23,6
10-01-19,Kimari Town,13,17,27,44,37,9,45,34,7
10-01-19,Korangi Town,13,30,8,30,45,5,42,45,9
11-01-19,Bin Qasim Town,33,8,37,4,36,18,14,49,35
11-01-19,Jamshed Town,28,1,8,0,31,23,7,30,31
11-01-19,Kimari Town,43,0,10,14,30,38,24,15,10
11-01-19,Korangi Town,43,29,28,31,23,26,1,11,9
12-01-19,Bin Qasim Town,25,38,4,43,15,38,36,38,14
12-01-19,Jamshed Town,12,21,7,45,41,4,29,23,18
12-01-19,Kimari Town,18,26,32,24,17,39,24,50,23
12-01-19,Korangi Town,33,49,33,14,33,16,16,38,18
01-01-20,Bin Qasim Town,21,4,46,19,29,41,41,36,48
01-01-20,Jamshed Town,25,27,40,16,12,28,47,26,18
01-01-20,Kimari Town,10,45,6,36,48,29,34,5,44
01-01-20,Korangi Town,33,4,39,16,44,46,37,20,4
02-01-20,Bin Qasim Town,7,47,5,16,2,50,34,23,29
02-01-20,Jamshed Town,17,13,50,47,14,28,4,28,17
02-01-20,Kimari Town,14,26,3,17,49,8,45,1,22
02-01-20,Korangi Town,25,29,36,7,40,49,39,9,27
03-01-20,Bin Qasim Town,14,36,28,0,30,14,10,49,2
03-01-20,Jamshed Town,7,36,20,18,32,34,32,43,36
03-01-20,Kimari Town,39,20,48,28,46,49,19,49,12
03-01-20,Korangi Town,41,28,27,24,14,3,14,0,38
04-01-20,Bin Qasim Town,49,36,33,17,3,28,26,23,5
04-01-20,Jamshed Town,30,36,49,49,47,18,46,25,17
04-01-20,Kimari Town,40,15,29,43,31,1,34,1,27
04-01-20,Korangi Town,41,5,39,32,30,4,46,13,11
05-01-20,Bin Qasim Town,4,20,17,8,50,38,49,35,47
05-01-20,Jamshed Town,20,31,3,32,33,35,41,10,35
05-01-20,Kimari Town,47,30,10,35,27,17,43,50,16
05-01-20,Korangi Town,41,34,7,18,40,12,48,45,12
06-01-20,Bin Qasim Town,36,35,12,37,11,23,42,15,3
06-01-20,Jamshed Town,36,49,9,6,49,13,26,21,0
06-01-20,Kimari Town,27,50,45,6,35,42,5,16,25
06-01-20,Korangi Town,24,3,25,20,12,6,28,5,5
07-01-20,Bin Qasim Town,19,30,18,43,34,9,28,16,32
07-01-20,Jamshed Town,24,8,43,3,37,45,26,32,13
07-01-20,Kimari Town,9,30,10,34,22,32,47,20,24
07-01-20,Korangi Town,29,27,30,26,40,21,41,40,27
08-01-20,Bin Qasim Town,32,23,21,49,43,50,6,35,46
08-01-20,Jamshed Town,47,26,22,0,31,36,16,3,27
08-01-20,Kimari Town,24,27,25,21,5,11,46,20,20
08-01-20,Korangi Town,37,16,20,28,5,37,25,28,12
09-01-20,Bin Qasim Town,48,21,33,44,17,45,15,19,23
09-01-20,Jamshed Town,28,2,38,16,16,33,47,41,35
09-01-20,Kimari Town,11,49,17,49,29,29,50,18,37
09-01-20,Korangi Town,24,27,32,42,42,0,21,40,50
10-01-20,Bin Qasim Town,25,21,11,7,43,33,9,47,33
10-01-20,Jamshed Town,30,50,37,4,13,5,27,39,31
10-01-20,Kimari Town,21,29,6,22,49,22,0,7,25
10-01-20,Korangi Town,11,32,35,27,25,37,29,46,11
11-01-20,Bin Qasim Town,16,24,23,38,34,25,0,18,6
11-01-20,Jamshed Town,41,12,13,48,25,6,37,41,38
11-01-20,Kimari Town,2,49,4,37,0,33,44,6,41
11-01-20,Korangi Town,1,42,19,15,11,7,8,3,7
10-01-19,Landhi Town,33,16,22,20,26,40,47,13,30
10-01-19,Liaquatabad Town,26,9,40,43,39,8,10,9,34
10-01-19,Lyari Town,10,42,5,49,11,20,27,33,31
10-01-19,Malir Town,41,27,7,4,5,11,45,14,32
11-01-19,Landhi Town,31,9,8,21,11,28,29,26,50
11-01-19,Liaquatabad Town,7,0,38,21,9,10,9,14,3
11-01-19,Lyari Town,50,49,36,11,34,2,25,9,32
11-01-19,Malir Town,48,36,16,19,18,11,39,8,33
12-01-19,Landhi Town,22,19,31,22,0,48,29,32,6
12-01-19,Liaquatabad Town,0,29,48,43,2,25,39,41,20
12-01-19,Lyari Town,45,37,31,29,22,24,15,5,43
12-01-19,Malir Town,11,37,41,27,6,14,9,24,2
01-01-20,Landhi Town,42,33,27,28,17,5,48,3,17
01-01-20,Liaquatabad Town,3,9,31,45,42,7,40,36,48
01-01-20,Lyari Town,50,50,23,19,41,26,4,4,42
01-01-20,Malir Town,11,8,27,33,2,26,8,20,31
02-01-20,Landhi Town,46,34,19,42,40,47,14,6,0
02-01-20,Liaquatabad Town,2,45,44,2,35,14,33,33,5
02-01-20,Lyari Town,23,15,36,42,7,44,10,14,37
02-01-20,Malir Town,5,31,44,10,47,6,21,19,25
03-01-20,Landhi Town,25,44,4,35,45,50,11,49,33
03-01-20,Liaquatabad Town,16,30,8,31,4,14,20,40,3
03-01-20,Lyari Town,30,49,36,50,14,4,22,13,12
03-01-20,Malir Town,43,33,9,49,46,24,25,33,4
04-01-20,Landhi Town,6,17,5,26,1,45,17,41,46
04-01-20,Liaquatabad Town,19,36,19,29,28,37,49,12,4
04-01-20,Lyari Town,16,19,41,19,9,39,44,14,10
04-01-20,Malir Town,49,12,37,35,10,48,14,28,24
05-01-20,Landhi Town,44,35,17,27,47,40,42,32,41
05-01-20,Liaquatabad Town,7,42,12,40,10,14,32,48,50
05-01-20,Lyari Town,24,21,30,13,25,14,40,31,4
05-01-20,Landhi Town,21,19,1,9,32,42,2,29,36
06-01-20,Liaquatabad Town,25,23,8,11,1,26,0,21,47
06-01-20,Lyari Town,38,36,15,35,23,38,29,18,25
06-01-20,Malir Town,16,6,3,44,1,3,38,0,31
06-01-20,Landhi Town,27,22,34,33,4,10,48,16,15
07-01-20,Liaquatabad Town,16,47,0,1,36,25,44,10,2
07-01-20,Lyari Town,15,44,8,25,48,36,12,49,19
07-01-20,Malir Town,9,2,50,40,49,4,35,18,13
07-01-20,Landhi Town,43,47,13,22,36,5,7,6,18
08-01-20,Liaquatabad Town,30,15,8,32,34,27,31,47,42
08-01-20,Lyari Town,2,13,28,38,28,17,49,29,47
08-01-20,Malir Town,13,28,14,38,18,2,2,46,36
08-01-20,Landhi Town,46,21,27,20,15,19,46,9,20
09-01-20,Liaquatabad Town,30,44,44,6,42,4,36,1,28
09-01-20,Lyari Town,22,22,48,22,47,22,44,38,48
09-01-20,Malir Town,23,3,23,27,38,23,20,16,45
09-01-20,Landhi Town,10,37,9,20,50,11,25,49,34
10-01-20,Liaquatabad Town,13,46,26,36,22,1,6,12,8
10-01-20,Lyari Town,21,30,23,17,38,48,5,6,1
10-01-20,Malir Town,0,36,35,1,47,0,32,41,27
10-01-20,Landhi Town,9,32,9,37,43,18,11,9,21
11-01-20,Liaquatabad Town,43,8,48,9,40,23,14,14,46
11-01-20,Lyari Town,31,15,42,30,3,33,6,0,47
11-01-20,Malir Town,45,40,45,38,45,50,16,5,7
11-01-20,Landhi Town,29,19,21,2,27,24,31,39,25
10-01-19,New Karachi Town,5,0,44,14,31,43,15,17,33
10-01-19,North Nazimabad Town,20,22,14,36,1,36,38,27,22
10-01-19,Orangi Town,10,12,14,18,23,17,25,1,14
10-01-19,Saddar Town,8,44,23,47,30,30,1,36,43
11-01-19,New Karachi Town,10,25,21,17,20,26,22,6,35
11-01-19,North Nazimabad Town,35,18,22,22,36,16,50,15,50
11-01-19,Orangi Town,32,39,39,14,19,43,38,19,49
11-01-19,Saddar Town,16,41,26,47,9,40,49,46,25
12-01-19,New Karachi Town,17,0,47,36,50,22,9,10,35
12-01-19,North Nazimabad Town,32,41,49,18,19,15,34,33,32
12-01-19,Orangi Town,30,47,34,31,7,24,9,21,41
12-01-19,Saddar Town,39,44,3,37,2,6,26,49,17
01-01-20,New Karachi Town,26,33,41,18,38,42,14,47,43
01-01-20,North Nazimabad Town,36,18,29,11,4,20,13,38,20
01-01-20,Orangi Town,5,32,9,25,20,8,30,2,38
01-01-20,Saddar Town,40,29,50,40,44,44,41,45,44
02-01-20,New Karachi Town,3,39,14,2,44,13,44,17,7
02-01-20,North Nazimabad Town,24,22,17,9,15,10,37,10,2
02-01-20,Orangi Town,34,1,44,13,25,45,19,0,14
02-01-20,Saddar Town,15,50,47,37,28,37,25,27,33
03-01-20,New Karachi Town,8,18,44,15,44,1,42,22,35
03-01-20,North Nazimabad Town,13,5,6,0,23,13,48,25,17
03-01-20,Orangi Town,45,24,44,19,4,13,35,31,32
03-01-20,Saddar Town,50,48,45,15,39,47,44,29,6
04-01-20,New Karachi Town,1,5,20,30,40,33,36,35,41
04-01-20,North Nazimabad Town,38,19,39,42,0,45,36,12,30
04-01-20,Orangi Town,32,2,16,43,46,22,19,4,28
04-01-20,Saddar Town,10,9,50,17,48,26,47,22,47
05-01-20,New Karachi Town,17,25,25,0,19,21,35,29,14
05-01-20,North Nazimabad Town,3,36,35,34,12,20,40,48,1
05-01-20,Orangi Town,20,21,42,6,17,14,30,50,48
05-01-20,Saddar Town,27,33,21,29,9,38,31,22,9
06-01-20,New Karachi Town,16,26,25,34,17,50,26,7,39
06-01-20,North Nazimabad Town,34,19,4,28,50,12,36,23,33
06-01-20,Orangi Town,25,33,32,47,41,20,6,25,18
06-01-20,Saddar Town,15,27,29,24,10,49,11,9,19
07-01-20,New Karachi Town,19,47,43,37,24,11,34,23,39
07-01-20,North Nazimabad Town,0,37,15,1,31,50,16,0,7
07-01-20,Orangi Town,41,40,30,6,13,44,45,25,17
07-01-20,Saddar Town,37,17,42,7,10,26,43,13,26
08-01-20,New Karachi Town,28,46,11,43,12,29,48,5,5
08-01-20,North Nazimabad Town,48,24,32,35,28,6,46,15,44
08-01-20,Orangi Town,35,41,15,9,7,9,8,30,6
08-01-20,Saddar Town,8,43,45,29,49,32,16,46,17
09-01-20,New Karachi Town,17,42,14,14,3,0,28,44,6
09-01-20,North Nazimabad Town,1,48,29,23,12,24,12,21,17
09-01-20,Orangi Town,7,5,0,7,4,2,15,34,0
09-01-20,Saddar Town,10,38,33,4,35,13,33,4,25
10-01-20,New Karachi Town,35,14,35,1,42,36,7,30,3
10-01-20,North Nazimabad Town,1,20,18,8,16,15,50,4,20
10-01-20,Orangi Town,23,18,15,37,6,16,40,9,44
10-01-20,Saddar Town,19,5,36,40,46,41,42,23,5
11-01-20,New Karachi Town,30,45,9,36,15,20,17,19,40
11-01-20,North Nazimabad Town,9,35,48,1,10,49,2,34,43
11-01-20,Orangi Town,39,40,29,9,16,11,49,25,7
11-01-20,Saddar Town,30,22,40,25,2,0,8,3,34
10-01-19,Shah Faisal Town,49,30,14,5,41,47,38,41,29
10-01-19,SITE Town,42,20,45,29,19,3,31,28,17
10-01-19,Karachi Cantonment,31,27,15,16,12,0,12,5,37
10-01-19,Clifton Cantonment,44,16,33,39,4,8,38,11,43
11-01-19,Shah Faisal Town,4,14,21,31,29,10,0,15,44
11-01-19,SITE Town,34,50,22,30,33,36,24,47,35
11-01-19,Karachi Cantonment,27,4,32,5,31,21,40,19,9
11-01-19,Clifton Cantonment,18,11,11,34,7,17,14,33,40
12-01-19,Shah Faisal Town,28,42,9,50,38,14,28,44,38
12-01-19,SITE Town,33,20,22,32,31,31,38,46,4
12-01-19,Karachi Cantonment,28,2,40,26,2,21,39,14,12
12-01-19,Clifton Cantonment,5,48,1,20,42,3,16,33,3
01-01-20,Shah Faisal Town,8,24,43,34,44,24,1,38,35
01-01-20,SITE Town,28,46,26,30,29,22,23,0,6
01-01-20,Karachi Cantonment,40,49,16,49,23,11,12,13,6
01-01-20,Clifton Cantonment,50,15,22,16,4,34,35,8,37
02-01-20,Shah Faisal Town,41,44,23,41,26,7,48,42,43
02-01-20,SITE Town,41,15,37,31,23,16,10,39,18
02-01-20,Karachi Cantonment,49,2,13,7,8,2,4,42,7
02-01-20,Clifton Cantonment,1,39,33,15,39,31,3,49,47
03-01-20,Shah Faisal Town,39,18,45,23,43,48,21,15,8
03-01-20,SITE Town,44,48,48,38,11,10,7,31,35
03-01-20,Karachi Cantonment,41,17,16,15,10,11,33,18,37
03-01-20,Clifton Cantonment,50,23,42,24,15,34,7,4,13
04-01-20,Shah Faisal Town,48,4,47,20,17,24,12,19,11
04-01-20,SITE Town,6,26,40,36,44,49,34,40,7
04-01-20,Karachi Cantonment,29,12,49,14,24,21,45,25,41
04-01-20,Clifton Cantonment,40,28,26,14,39,27,14,35,14
05-01-20,Shah Faisal Town,35,4,11,6,16,24,12,14,32
05-01-20,SITE Town,42,19,17,28,38,7,43,11,17
05-01-20,Karachi Cantonment,0,13,2,34,42,33,26,44,7
05-01-20,Clifton Cantonment,48,48,32,24,48,39,12,27,19
06-01-20,Shah Faisal Town,37,46,3,47,47,10,30,4,2
06-01-20,SITE Town,23,46,46,43,36,42,44,12,4
06-01-20,Karachi Cantonment,7,4,9,18,19,30,19,14,48
06-01-20,Clifton Cantonment,38,49,14,17,4,19,16,37,7
07-01-20,Shah Faisal Town,19,0,29,38,19,18,50,19,28
07-01-20,SITE Town,36,45,46,41,36,11,49,22,10
07-01-20,Karachi Cantonment,12,7,22,35,25,22,6,35,1
07-01-20,Clifton Cantonment,12,38,43,35,29,41,15,40,30
08-01-20,Shah Faisal Town,37,10,46,17,23,19,37,0,49
08-01-20,SITE Town,12,3,22,48,24,24,46,34,31
08-01-20,Karachi Cantonment,27,46,49,24,11,13,41,42,43
08-01-20,Clifton Cantonment,30,5,6,28,36,15,39,41,10
09-01-20,Shah Faisal Town,13,21,34,10,16,19,34,40,19
09-01-20,SITE Town,22,18,46,49,4,48,30,42,33
09-01-20,Karachi Cantonment,5,50,49,2,44,14,21,44,31
09-01-20,Clifton Cantonment,34,50,9,36,25,24,41,39,35
10-01-20,Shah Faisal Town,42,23,33,18,33,12,23,1,50
10-01-20,SITE Town,11,20,33,47,1,12,1,13,49
10-01-20,Karachi Cantonment,36,17,36,42,20,47,13,18,32
10-01-20,Clifton Cantonment,25,12,32,24,42,27,7,16,14
11-01-20,Shah Faisal Town,32,22,30,39,17,32,43,3,16
11-01-20,SITE Town,24,50,28,2,27,15,42,16,9
11-01-20,Karachi Cantonment,1,5,13,18,11,13,11,1,42
11-01-20,Clifton Cantonment,50,24,28,22,27,33,24,11,24
10-01-19,Korangi Creek Cantonment,37,33,10,31,5,10,37,33,10
10-01-19,Faisal Cantonment,43,31,10,29,5,42,29,8,22
10-01-19,Malir Cantonment,24,35,5,32,38,21,15,18,30
10-01-19,Manora Cantonment,50,13,26,47,11,44,32,13,7
11-01-19,Korangi Creek Cantonment,10,21,29,15,14,2,6,32,34
11-01-19,Faisal Cantonment,14,22,2,3,0,39,15,20,39
11-01-19,Malir Cantonment,26,0,16,12,42,9,31,6,8
11-01-19,Manora Cantonment,8,28,48,21,50,25,22,1,34
12-01-19,Korangi Creek Cantonment,26,9,39,8,26,13,27,5,21
12-01-19,Faisal Cantonment,41,9,23,9,46,33,11,37,8
12-01-19,Malir Cantonment,41,4,29,49,22,22,23,32,46
12-01-19,Manora Cantonment,6,13,2,30,16,42,19,13,31
01-01-20,Korangi Creek Cantonment,37,42,30,39,43,7,44,28,27
01-01-20,Faisal Cantonment,22,30,42,27,13,19,13,2,46
01-01-20,Malir Cantonment,6,1,23,25,33,8,9,11,5
01-01-20,Manora Cantonment,1,0,11,39,27,50,13,8,28
02-01-20,Korangi Creek Cantonment,36,31,43,28,8,14,26,35,8
02-01-20,Faisal Cantonment,48,46,37,33,15,23,39,39,27
02-01-20,Malir Cantonment,46,30,20,39,17,7,16,44,43
02-01-20,Manora Cantonment,22,44,48,5,10,22,19,31,26
03-01-20,Korangi Creek Cantonment,46,2,4,50,28,39,13,13,9
03-01-20,Faisal Cantonment,35,2,27,34,26,44,10,48,2
03-01-20,Malir Cantonment,32,47,49,5,36,11,1,4,5
03-01-20,Manora Cantonment,33,3,47,36,40,47,20,28,1
04-01-20,Korangi Creek Cantonment,35,8,11,25,44,8,40,33,39
04-01-20,Faisal Cantonment,20,49,30,38,19,28,7,46,38
04-01-20,Malir Cantonment,11,48,32,15,14,32,48,40,1
04-01-20,Manora Cantonment,25,47,11,7,41,7,35,4,30
05-01-20,Korangi Creek Cantonment,30,41,31,39,5,29,20,39,11
05-01-20,Faisal Cantonment,4,1,7,6,20,21,43,28,25
05-01-20,Malir Cantonment,22,15,36,43,14,21,47,14,12
05-01-20,Manora Cantonment,1,42,49,9,2,8,10,20,50
06-01-20,Korangi Creek Cantonment,29,32,9,8,16,30,33,30,44
06-01-20,Faisal Cantonment,49,15,26,7,48,38,23,19,36
06-01-20,Malir Cantonment,29,0,8,10,3,31,24,17,46
06-01-20,Manora Cantonment,15,14,22,34,42,32,7,42,14
07-01-20,Korangi Creek Cantonment,50,10,20,17,6,12,27,15,12
07-01-20,Faisal Cantonment,41,24,8,17,6,47,49,50,32
07-01-20,Malir Cantonment,22,17,40,20,34,42,16,45,35
07-01-20,Manora Cantonment,32,18,26,1,50,45,14,9,40
08-01-20,Korangi Creek Cantonment,16,8,1,19,32,39,28,23,25
08-01-20,Faisal Cantonment,10,15,24,3,37,14,46,35,36
08-01-20,Malir Cantonment,50,45,13,6,49,20,47,36,44
08-01-20,Manora Cantonment,31,41,43,16,44,22,29,27,18
09-01-20,Korangi Creek Cantonment,25,43,33,8,49,45,45,28,17
09-01-20,Faisal Cantonment,33,8,45,14,25,20,50,2,21
09-01-20,Malir Cantonment,20,49,19,1,37,1,1,29,17
09-01-20,Manora Cantonment,13,20,3,20,18,2,4,49,8
10-01-20,Korangi Creek Cantonment,24,46,1,39,5,27,21,47,2
10-01-20,Faisal Cantonment,0,6,7,26,44,1,39,22,44
10-01-20,Malir Cantonment,27,29,4,27,1,33,25,18,16
10-01-20,Manora Cantonment,0,31,15,4,12,16,19,5,5
11-01-20,Korangi Creek Cantonment,45,45,12,49,17,17,45,21,45
11-01-20,Faisal Cantonment,37,5,42,35,5,27,3,43,12
11-01-20,Malir Cantonment,19,1,47,15,6,49,37,32,6
11-01-20,Manora Cantonment,35,43,22,7,24,36,6,22,2
10-01-19,Kiamari Town,4,11,25,11,15,35,35,12,37
11-01-19,Kiamari Town,0,37,41,6,29,30,2,44,14
12-01-19,Kiamari Town,24,38,15,23,10,19,40,40,16
01-01-20,Kiamari Town,42,31,24,13,42,25,46,8,16
02-01-20,Kiamari Town,31,22,8,14,2,38,12,17,29
03-01-20,Kiamari Town,15,42,14,48,49,26,12,18,18
04-01-20,Kiamari Town,45,47,46,29,46,49,26,15,10
05-01-20,Kiamari Town,0,34,2,18,34,50,39,44,24
06-01-20,Kiamari Town,49,46,38,17,47,46,37,17,47
07-01-20,Kiamari Town,12,15,7,7,39,35,39,4,17
08-01-20,Kiamari Town,11,16,30,31,28,6,14,21,31
09-01-20,Kiamari Town,38,34,17,6,19,35,34,48,4
10-01-20,Kiamari Town,15,3,3,16,32,20,10,10,42
11-01-20,Kiamari Town,34,26,34,9,37,4,19,48,23
